"Creditability","Account_Balance","Duration_of_Credit__month","Payment_Status_of_Previous_Credit","Purpose","Value_Savings_Stocks","Length_of_current_employment","Instalment_per_cent","Credit_Amount","Age__years","Sex___Marital_Status"
0,"4","02 [8,16)","3","3","1","3","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","4","6","5","2","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","2","3","3","2","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","01 (-Inf,8)","4","3","5","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"2","01 (-Inf,8)","3","9","2","5","1","01 (-Inf,3914)","02 [26,35)","1"
0,"4","02 [8,16)","3","2","4","4","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","1","1","3","1","02 [3914,Inf)","02 [26,35)","2"
0,"4","02 [8,16)","2","2","2","2","2","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","01 (-Inf,8)","3","9","2","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"2","02 [8,16)","2","2","4","2","1","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","3","3","1","1","2","01 (-Inf,3914)","02 [26,35)","4"
0,"1","02 [8,16)","1","8","1","5","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"3","03 [16,45)","2","3","1","4","4","02 [3914,Inf)","01 (-Inf,26)","3"
0,"3","03 [16,45)","2","2","1","2","2","01 (-Inf,3914)","02 [26,35)","2"
0,"4","02 [8,16)","4","3","5","3","1","01 (-Inf,3914)","02 [26,35)","3"
1,"3","02 [8,16)","2","3","1","3","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","0","2","5","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"1","01 (-Inf,8)","2","2","1","3","1","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","1","0","5","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"1","03 [16,45)","2","3","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","04 [45,Inf)","0","1","5","3","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","3","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","04 [45,Inf)","4","1","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","4","0","4","3","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","03 [16,45)","2","0","1","2","4","01 (-Inf,3914)","02 [26,35)","3"
0,"1","01 (-Inf,8)","2","0","1","2","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","1","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","1","9","1","4","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"3","02 [8,16)","2","3","1","3","3","01 (-Inf,3914)","01 (-Inf,26)","4"
0,"4","02 [8,16)","4","3","1","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","01 (-Inf,8)","0","0","2","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","0","3","3","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","3","2","3","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","02 [8,16)","2","9","4","5","1","01 (-Inf,3914)","02 [26,35)","1"
0,"1","02 [8,16)","4","2","5","2","2","01 (-Inf,3914)","02 [26,35)","2"
0,"4","02 [8,16)","2","0","1","3","3","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","4","0","4","5","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","2","0","2","3","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"3","01 (-Inf,8)","4","0","1","5","1","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","0","5","4","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","4","3","1","5","3","02 [3914,Inf)","02 [26,35)","3"
0,"4","03 [16,45)","4","6","5","3","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","4","3","1","3","2","01 (-Inf,3914)","02 [26,35)","2"
0,"4","01 (-Inf,8)","4","3","1","4","1","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","2","0","5","4","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","3","0","5","5","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"1","03 [16,45)","2","2","1","2","4","01 (-Inf,3914)","01 (-Inf,26)","3"
0,"1","02 [8,16)","4","5","2","5","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","02 [8,16)","4","0","1","4","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","1","2","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","2","1","4","4","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","3","5","5","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","03 [16,45)","1","1","1","3","1","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","4","1","5","1","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","0","2","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","0","2","4","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","2","3","1","3","1","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","6","3","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"3","02 [8,16)","4","0","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","02 [8,16)","4","0","1","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","6","1","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","2","5","3","2","01 (-Inf,3914)","02 [26,35)","4"
0,"4","03 [16,45)","2","0","4","4","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","04 [45,Inf)","4","9","5","5","4","02 [3914,Inf)","03 [35,Inf)","1"
1,"1","02 [8,16)","4","0","1","3","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","01 (-Inf,8)","2","3","2","5","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","1","5","5","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"1","03 [16,45)","2","1","1","3","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","0","1","5","3","01 (-Inf,3914)","02 [26,35)","3"
0,"3","03 [16,45)","2","0","1","5","3","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","02 [8,16)","4","0","5","5","1","02 [3914,Inf)","03 [35,Inf)","2"
0,"4","02 [8,16)","4","0","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","02 [8,16)","2","2","1","2","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","01 (-Inf,8)","4","2","5","3","1","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","2","2","1","3","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","02 [8,16)","2","3","5","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","0","2","1","5","2","01 (-Inf,3914)","02 [26,35)","3"
0,"3","03 [16,45)","2","3","3","3","3","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","02 [8,16)","0","8","1","3","2","01 (-Inf,3914)","02 [26,35)","3"
0,"1","02 [8,16)","2","0","1","3","2","01 (-Inf,3914)","02 [26,35)","2"
0,"1","03 [16,45)","2","2","1","3","2","01 (-Inf,3914)","01 (-Inf,26)","1"
0,"1","03 [16,45)","2","9","1","3","2","02 [3914,Inf)","01 (-Inf,26)","4"
0,"4","03 [16,45)","4","3","4","5","2","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","4","1","4","5","2","02 [3914,Inf)","02 [26,35)","2"
0,"1","01 (-Inf,8)","2","4","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","3","2","2","4","4","01 (-Inf,3914)","02 [26,35)","3"
0,"1","03 [16,45)","2","3","1","3","3","01 (-Inf,3914)","02 [26,35)","3"
1,"1","02 [8,16)","0","5","1","4","4","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","3","1","1","5","1","02 [3914,Inf)","02 [26,35)","3"
0,"2","02 [8,16)","2","5","2","3","4","01 (-Inf,3914)","01 (-Inf,26)","3"
0,"4","03 [16,45)","4","3","5","4","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"1","03 [16,45)","2","2","1","2","1","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"1","03 [16,45)","2","2","1","4","1","01 (-Inf,3914)","02 [26,35)","2"
0,"4","04 [45,Inf)","4","0","5","5","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","02 [8,16)","2","0","1","3","4","01 (-Inf,3914)","01 (-Inf,26)","4"
0,"4","03 [16,45)","4","2","3","3","4","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","02 [8,16)","2","3","1","3","4","01 (-Inf,3914)","01 (-Inf,26)","3"
1,"2","02 [8,16)","2","2","1","3","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","0","1","3","1","02 [3914,Inf)","03 [35,Inf)","3"
0,"3","02 [8,16)","2","4","1","3","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","03 [16,45)","2","1","5","5","2","01 (-Inf,3914)","02 [26,35)","2"
0,"4","02 [8,16)","2","1","1","4","2","01 (-Inf,3914)","02 [26,35)","3"
0,"3","02 [8,16)","4","0","3","1","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"3","01 (-Inf,8)","4","6","1","3","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","4","3","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","2","2","3","4","02 [3914,Inf)","01 (-Inf,26)","3"
0,"2","02 [8,16)","2","3","1","5","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","03 [16,45)","3","3","1","2","1","02 [3914,Inf)","02 [26,35)","3"
0,"4","02 [8,16)","2","3","1","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","3","1","1","3","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"2","02 [8,16)","2","0","1","4","2","02 [3914,Inf)","02 [26,35)","3"
0,"2","03 [16,45)","2","9","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"2","02 [8,16)","2","9","2","4","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","01 (-Inf,8)","2","1","3","1","1","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","2","3","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","3","1","2","3","02 [3914,Inf)","02 [26,35)","3"
0,"2","04 [45,Inf)","2","10","5","1","3","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","1","1","3","3","02 [3914,Inf)","02 [26,35)","3"
0,"2","02 [8,16)","2","9","1","3","2","01 (-Inf,3914)","02 [26,35)","4"
0,"2","03 [16,45)","2","9","4","2","3","01 (-Inf,3914)","03 [35,Inf)","4"
0,"4","03 [16,45)","2","3","5","4","2","02 [3914,Inf)","02 [26,35)","4"
0,"4","02 [8,16)","2","3","2","1","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","3","9","5","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","3","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","3","9","3","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","3","3","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","3","1","5","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","3","2","1","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","4","1","4","3","4","02 [3914,Inf)","02 [26,35)","3"
0,"4","03 [16,45)","4","3","5","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"1","02 [8,16)","4","2","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","3","1","3","4","01 (-Inf,3914)","02 [26,35)","4"
0,"2","02 [8,16)","4","0","4","3","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","03 [16,45)","4","0","1","1","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","0","5","5","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","4","3","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","3","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","03 [16,45)","3","6","2","4","2","02 [3914,Inf)","02 [26,35)","3"
1,"2","02 [8,16)","4","6","1","5","2","01 (-Inf,3914)","02 [26,35)","2"
0,"1","02 [8,16)","2","6","5","3","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","02 [8,16)","2","0","5","3","1","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","4","3","1","4","4","02 [3914,Inf)","02 [26,35)","2"
1,"4","02 [8,16)","3","5","4","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","02 [8,16)","4","9","3","3","2","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","4","9","5","3","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","4","9","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","3","3","5","5","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","6","2","3","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","01 (-Inf,8)","3","3","1","3","3","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"1","03 [16,45)","4","9","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","03 [16,45)","4","9","1","1","3","01 (-Inf,3914)","03 [35,Inf)","4"
0,"4","03 [16,45)","4","2","1","2","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","3","9","1","4","3","02 [3914,Inf)","02 [26,35)","3"
0,"1","03 [16,45)","4","2","5","4","4","02 [3914,Inf)","02 [26,35)","3"
0,"4","02 [8,16)","2","3","5","3","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"4","02 [8,16)","4","3","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","2","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","4","3","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","3","5","3","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","2","1","1","3","2","02 [3914,Inf)","02 [26,35)","3"
0,"2","02 [8,16)","2","3","3","3","4","01 (-Inf,3914)","03 [35,Inf)","2"
1,"2","02 [8,16)","2","3","3","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","03 [16,45)","2","2","5","4","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","02 [8,16)","2","0","1","1","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","03 [16,45)","4","6","1","2","2","02 [3914,Inf)","01 (-Inf,26)","2"
0,"1","02 [8,16)","2","0","1","1","1","02 [3914,Inf)","01 (-Inf,26)","3"
0,"2","04 [45,Inf)","3","3","5","3","1","02 [3914,Inf)","02 [26,35)","3"
0,"2","03 [16,45)","3","10","1","3","2","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","2","9","4","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","03 [16,45)","3","2","5","2","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","2","1","5","2","2","01 (-Inf,3914)","02 [26,35)","4"
0,"2","03 [16,45)","2","1","5","1","1","02 [3914,Inf)","03 [35,Inf)","1"
0,"2","03 [16,45)","4","2","1","1","4","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","1","2","2","1","01 (-Inf,3914)","01 (-Inf,26)","2"
1,"1","03 [16,45)","2","0","1","3","3","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","02 [8,16)","2","0","5","1","1","02 [3914,Inf)","01 (-Inf,26)","2"
0,"3","02 [8,16)","2","2","5","5","3","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","02 [8,16)","2","1","5","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","2","0","3","5","1","02 [3914,Inf)","03 [35,Inf)","2"
0,"2","03 [16,45)","2","3","1","4","4","01 (-Inf,3914)","01 (-Inf,26)","3"
0,"4","02 [8,16)","2","6","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","2","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","3","5","5","4","01 (-Inf,3914)","01 (-Inf,26)","3"
0,"4","03 [16,45)","2","9","5","5","3","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","2","5","4","1","01 (-Inf,3914)","02 [26,35)","2"
0,"3","03 [16,45)","2","3","1","5","4","02 [3914,Inf)","02 [26,35)","3"
0,"4","03 [16,45)","2","8","1","2","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","03 [16,45)","2","2","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","3","5","2","4","01 (-Inf,3914)","01 (-Inf,26)","3"
0,"4","02 [8,16)","4","6","1","5","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","03 [16,45)","2","5","1","1","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","2","5","5","5","4","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","03 [16,45)","2","2","1","4","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","3","9","1","3","1","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","2","5","5","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","2","4","4","3","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","4","9","1","3","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","4","2","1","2","3","01 (-Inf,3914)","03 [35,Inf)","1"
0,"2","03 [16,45)","4","2","1","5","3","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","2","9","1","3","2","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","2","0","5","2","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","3","1","2","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","2","1","5","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"1","03 [16,45)","0","9","1","4","3","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","4","3","1","5","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"1","02 [8,16)","4","1","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","2","3","2","4","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","01 (-Inf,8)","2","3","1","4","2","01 (-Inf,3914)","02 [26,35)","4"
0,"4","03 [16,45)","4","1","5","4","3","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","02 [8,16)","4","0","1","1","1","01 (-Inf,3914)","03 [35,Inf)","2"
0,"1","02 [8,16)","2","3","3","5","3","01 (-Inf,3914)","03 [35,Inf)","4"
0,"4","03 [16,45)","2","0","1","2","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","03 [16,45)","4","0","2","4","4","01 (-Inf,3914)","02 [26,35)","4"
0,"4","01 (-Inf,8)","2","3","1","4","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","5","1","3","4","01 (-Inf,3914)","02 [26,35)","1"
0,"4","03 [16,45)","2","1","1","4","3","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","4","3","1","5","2","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","4","3","5","5","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","4","1","5","3","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","2","1","5","4","02 [3914,Inf)","02 [26,35)","3"
0,"1","01 (-Inf,8)","2","0","2","5","3","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","4","0","3","3","1","01 (-Inf,3914)","01 (-Inf,26)","4"
0,"4","01 (-Inf,8)","2","6","1","2","1","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","03 [16,45)","4","0","2","2","4","01 (-Inf,3914)","03 [35,Inf)","1"
0,"2","03 [16,45)","2","2","1","2","2","01 (-Inf,3914)","01 (-Inf,26)","4"
0,"4","02 [8,16)","2","0","4","4","2","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","03 [16,45)","2","3","2","2","2","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","3","9","2","4","4","02 [3914,Inf)","03 [35,Inf)","3"
1,"4","03 [16,45)","2","6","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
1,"4","03 [16,45)","2","3","5","2","1","02 [3914,Inf)","03 [35,Inf)","2"
1,"4","03 [16,45)","4","2","1","2","2","02 [3914,Inf)","01 (-Inf,26)","2"
1,"4","03 [16,45)","2","2","1","3","4","01 (-Inf,3914)","02 [26,35)","2"
1,"4","03 [16,45)","2","2","1","1","4","02 [3914,Inf)","02 [26,35)","2"
0,"4","01 (-Inf,8)","2","3","1","3","3","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","3","5","2","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","02 [8,16)","4","1","1","1","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","4","3","1","3","2","02 [3914,Inf)","02 [26,35)","2"
0,"1","02 [8,16)","2","3","1","3","4","01 (-Inf,3914)","03 [35,Inf)","4"
0,"2","02 [8,16)","2","3","1","4","2","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","3","1","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","4","3","1","3","2","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","01 (-Inf,8)","4","3","1","4","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","03 [16,45)","4","1","5","4","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"3","02 [8,16)","2","3","1","3","2","01 (-Inf,3914)","03 [35,Inf)","2"
0,"1","03 [16,45)","4","3","1","4","4","01 (-Inf,3914)","02 [26,35)","4"
0,"1","03 [16,45)","2","3","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"2","03 [16,45)","2","3","1","5","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","01 (-Inf,8)","4","0","1","4","1","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","01 (-Inf,8)","4","0","1","4","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","01 (-Inf,8)","4","3","5","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","03 [16,45)","0","2","1","3","1","01 (-Inf,3914)","02 [26,35)","2"
1,"2","02 [8,16)","2","3","1","2","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","04 [45,Inf)","2","3","5","4","4","02 [3914,Inf)","03 [35,Inf)","3"
1,"2","02 [8,16)","2","2","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","03 [16,45)","4","2","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","01 (-Inf,8)","4","3","1","4","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"2","02 [8,16)","2","9","1","2","3","01 (-Inf,3914)","02 [26,35)","4"
0,"2","03 [16,45)","2","3","5","3","4","01 (-Inf,3914)","02 [26,35)","2"
0,"3","02 [8,16)","4","3","5","4","4","01 (-Inf,3914)","02 [26,35)","3"
0,"2","02 [8,16)","2","0","4","3","4","01 (-Inf,3914)","01 (-Inf,26)","4"
0,"4","02 [8,16)","4","2","3","4","3","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","02 [8,16)","2","0","1","4","3","01 (-Inf,3914)","02 [26,35)","3"
0,"4","02 [8,16)","4","6","1","4","2","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","02 [8,16)","2","0","1","3","3","01 (-Inf,3914)","02 [26,35)","4"
0,"4","02 [8,16)","2","8","5","4","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"2","02 [8,16)","2","2","4","2","4","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"4","03 [16,45)","3","9","1","3","2","01 (-Inf,3914)","02 [26,35)","2"
0,"2","04 [45,Inf)","0","0","3","2","1","02 [3914,Inf)","02 [26,35)","2"
0,"3","02 [8,16)","2","2","1","2","4","01 (-Inf,3914)","02 [26,35)","2"
0,"4","03 [16,45)","2","1","5","1","2","02 [3914,Inf)","02 [26,35)","2"
0,"2","02 [8,16)","2","9","3","5","1","01 (-Inf,3914)","03 [35,Inf)","4"
0,"4","03 [16,45)","4","0","5","2","2","01 (-Inf,3914)","03 [35,Inf)","1"
0,"4","03 [16,45)","4","1","1","4","3","01 (-Inf,3914)","02 [26,35)","3"
1,"2","04 [45,Inf)","2","0","2","2","4","02 [3914,Inf)","01 (-Inf,26)","2"
0,"3","03 [16,45)","2","3","2","5","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","03 [16,45)","3","9","2","3","2","02 [3914,Inf)","02 [26,35)","3"
0,"2","03 [16,45)","3","3","2","4","3","01 (-Inf,3914)","01 (-Inf,26)","2"
0,"2","03 [16,45)","3","9","2","4","1","02 [3914,Inf)","02 [26,35)","3"
0,"4","01 (-Inf,8)","4","0","2","3","4","01 (-Inf,3914)","03 [35,Inf)","2"
0,"4","02 [8,16)","4","2","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
0,"4","04 [45,Inf)","2","3","5","4","4","02 [3914,Inf)","03 [35,Inf)","3"
0,"3","02 [8,16)","2","0","1","2","4","01 (-Inf,3914)","02 [26,35)","3"
0,"4","03 [16,45)","2","6","5","3","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","03 [16,45)","2","1","1","2","2","02 [3914,Inf)","02 [26,35)","3"
0,"2","03 [16,45)","1","2","4","3","4","01 (-Inf,3914)","02 [26,35)","3"
0,"2","03 [16,45)","2","1","1","3","2","02 [3914,Inf)","03 [35,Inf)","3"
0,"2","04 [45,Inf)","0","9","5","3","2","02 [3914,Inf)","03 [35,Inf)","3"
1,"1","03 [16,45)","2","2","1","5","4","01 (-Inf,3914)","03 [35,Inf)","3"
1,"1","02 [8,16)","2","6","1","3","4","01 (-Inf,3914)","03 [35,Inf)","3"
1,"1","03 [16,45)","4","2","3","3","1","02 [3914,Inf)","01 (-Inf,26)","2"
1,"1","03 [16,45)","2","3","5","4","4","02 [3914,Inf)","02 [26,35)","2"
1,"1","03 [16,45)","1","3","1","4","4","01 (-Inf,3914)","01 (-Inf,26)","3"
